"Designator","Footprint","Mid X","Mid Y","Ref X","Ref Y","Pad X","Pad Y","Layer","Rotation","Comment"
"RV110","0805_REFL","3622.04mil","1062.984mil","3622.047mil","1062.992mil","3660.04mil","1062.984mil","T","180.00","VC080514A300"
"RV111","0805_REFL","3622.04mil","866.134mil","3622.047mil","866.142mil","3660.04mil","866.134mil","T","180.00","VC080514A300"
"RV112","0805_REFL","3622.04mil","669.284mil","3622.047mil","669.291mil","3660.04mil","669.284mil","T","180.00","VC080514A300"
"RV113","0805_REFL","3622.04mil","472.434mil","3622.047mil","472.441mil","3660.04mil","472.434mil","T","180.00","VC080514A300"
"U100","OPTO1","3010.008mil","2856.842mil","3010mil","2856.85mil","3060.008mil","2994.342mil","T","270.00","PC357NT"
"U101","OPTO1","3050.008mil","1036.842mil","3050mil","1036.85mil","3100.008mil","1174.342mil","T","270.00","PC357NT"
"U200","SSOP-28","1977.566mil","2824.796mil","1977.559mil","2824.803mil","2143.966mil","2954.796mil","T","270.00","PIC16F872"
"X100","MC1,5/3-G-3,81","314.96mil","3826.378mil","314.961mil","3976.378mil","314.96mil","3976.378mil","T","270.00","MC1.5/3-G1-3.81"
"X101","KK6410-10A","1970mil","846.85mil","1970mil","396.85mil","1970mil","396.85mil","T","90.00","KK6410-10A"
"X104","DB25RA/F","442.126mil","1815.418mil","492.126mil","1161.417mil","492.126mil","1161.418mil","T","90.00","DB25F-XXX"
"X105","KK6410-05A","2814.96mil","2837.796mil","2814.961mil","2637.795mil","2814.96mil","2637.796mil","T","90.00","KK6410-05A"
"X106","KK6410-05A","2560mil","596.85mil","2560mil","796.85mil","2560mil","796.85mil","T","270.00","KK6410-05A"
"X107","KK6410-05A","2860mil","916.85mil","2860mil","716.85mil","2860mil","716.85mil","T","90.00","KK6410-05A"
"X200","KK6410-10A","1380mil","846.85mil","1380mil","396.85mil","1380mil","396.85mil","T","90.00","KK6410-10A"
"XIA100","KK6410-03A","720mil","1016.85mil","720mil","916.85mil","720mil","916.85mil","T","90.00","KK-3POL"
"XIA101","KK6410-03A","720mil","1986.85mil","720mil","1886.85mil","720mil","1886.85mil","T","90.00","KK-3POL"
"XICD200","B6B-ZR","2580mil","2716.378mil","2580mil","2864.016mil","2580mil","2864.016mil","T","270.00","CONS-ICD-B6B-ZR"
"XP100","BIGPAD","3779.528mil","2047.244mil","3779.528mil","2047.244mil","3779.528mil","2047.244mil","T","180.00","A1"
"XP101","BIGPAD","3779.528mil","3937.008mil","3779.528mil","3937.008mil","3779.528mil","3937.008mil","T","180.00","A1"
"XP102","BIGPAD","3779.528mil","3740.158mil","3779.528mil","3740.157mil","3779.528mil","3740.158mil","T","180.00","B1"
"XP103","BIGPAD","3779.528mil","1850.394mil","3779.528mil","1850.394mil","3779.528mil","1850.394mil","T","180.00","B1"
"XP104","BIGPAD","3779.528mil","3543.308mil","3779.528mil","3543.307mil","3779.528mil","3543.308mil","T","180.00","C1"
"XP105","BIGPAD","3779.528mil","1653.544mil","3779.528mil","1653.543mil","3779.528mil","1653.544mil","T","180.00","C1"
"XP106","BIGPAD","3779.528mil","3346.456mil","3779.528mil","3346.457mil","3779.528mil","3346.456mil","T","180.00","D1"
"XP107","BIGPAD","3779.528mil","1456.694mil","3779.528mil","1456.693mil","3779.528mil","1456.694mil","T","180.00","D1"
"XP108","BIGPAD","3779.528mil","3149.606mil","3779.528mil","3149.606mil","3779.528mil","3149.606mil","T","180.00","H1"
"XP109","BIGPAD","3779.528mil","1259.842mil","3779.528mil","1259.843mil","3779.528mil","1259.842mil","T","180.00","H1"
"XP110","BIGPAD","3779.528mil","2952.756mil","3779.528mil","2952.756mil","3779.528mil","2952.756mil","T","180.00","K1"
"XP111","BIGPAD","3779.528mil","1062.992mil","3779.528mil","1062.992mil","3779.528mil","1062.992mil","T","180.00","K1"
"XP112","BIGPAD","3779.528mil","2755.906mil","3779.528mil","2755.905mil","3779.528mil","2755.906mil","T","180.00","S1"
"XP113","BIGPAD","3779.528mil","866.142mil","3779.528mil","866.142mil","3779.528mil","866.142mil","T","180.00","S1"
"XP114","BIGPAD","3779.528mil","2559.056mil","3779.528mil","2559.055mil","3779.528mil","2559.056mil","T","180.00","T1"
"XP115","BIGPAD","3779.528mil","669.292mil","3779.528mil","669.291mil","3779.528mil","669.292mil","T","180.00","T1"
"XP116","BIGPAD","3779.528mil","2362.206mil","3779.528mil","2362.205mil","3779.528mil","2362.206mil","T","90.00","U1"
"XP117","BIGPAD","3779.528mil","472.442mil","3779.528mil","472.441mil","3779.528mil","472.442mil","T","270.00","U1"
"XST200","B6B-ZR","1220mil","2706.378mil","1220mil","2854.016mil","1220mil","2854.016mil","T","270.00","B6B-ZR"
"X201","KK6410-10A","2260mil","846.85mil","2260mil","396.85mil","2260mil","396.85mil","T","90.00","KK6410-10A"
"X102","KK6410-10A","1670mil","846.85mil","1670mil","396.85mil","1670mil","396.85mil","T","90.00","KK6410-10A"
"U201","SO-8","3449.504mil","2034.15mil","3450mil","2034.646mil","3339.504mil","2109.15mil","T","360.00","LT1763CS8-ADJ"
"T203","SOT-23_MOS","2839.992mil","1934.638mil","2840mil","1934.646mil","2877.492mil","1974.638mil","T","180.00","BSS138"
"T202","SOT-23_MOS","2979.992mil","1929.992mil","2980mil","1930mil","2942.492mil","1969.992mil","T","180.00","BSS138"
"T201","SOT-23_MOS","2910.008mil","1604.638mil","2910mil","1604.646mil","2870.008mil","1642.138mil","T","270.00","BSS138"
"T200","SOT-23_MOS_REFL","3410mil","1844.896mil","3410mil","1844.646mil","3410mil","1884.146mil","T","0.00","FDV304P"
"R253","1206_REFL","2509.992mil","1914.638mil","2510mil","1914.646mil","2568.492mil","1914.638mil","T","180.00","0R0"
"R251","0805_REFL","2970.008mil","1724.654mil","2970mil","1724.646mil","2932.008mil","1724.654mil","T","360.00","43R 5%"
"R250","0805_REFL","2970.008mil","1814.654mil","2970mil","1814.646mil","2932.008mil","1814.654mil","T","360.00","27R 1%"
"R249","0805_REFL","3130.008mil","1924.654mil","3130mil","1924.646mil","3092.008mil","1924.654mil","T","360.00","22R 1%"
"R248","0805_REFL","3060.008mil","2204.654mil","3060mil","2204.646mil","3022.008mil","2204.654mil","T","360.00","15R 5%"
"R247","0805_REFL","3130.008mil","1814.654mil","3130mil","1814.646mil","3092.008mil","1814.654mil","T","360.00","430R 1%"
"R246","0805_REFL","3130.008mil","2014.654mil","3130mil","2014.646mil","3092.008mil","2014.654mil","T","360.00","240R 1%"
"R245","0805_REFL","3659.992mil","1994.654mil","3660mil","1994.646mil","3659.992mil","1956.654mil","T","90.00","1K 1%"
"R244","0805_REFL","3390.008mil","1720.008mil","3390mil","1720mil","3352.008mil","1720.008mil","T","360.00","2K2 1%"
"R243","0805_REFL","3230.008mil","2206.858mil","3230mil","2206.85mil","3192.008mil","2206.858mil","T","360.00","1K5 1%"
"R240","0805_REFL","2610.008mil","1204.654mil","2610mil","1204.646mil","2572.008mil","1204.654mil","T","360.00","2K4 5%"
"R239","0805_REFL","1950.008mil","1904.654mil","1950mil","1904.646mil","1912.008mil","1904.654mil","T","360.00","2K4 5%"
"R238","0805_REFL","1690.008mil","1724.654mil","1690mil","1724.646mil","1652.008mil","1724.654mil","T","360.00","2K4 5%"
"R235","0805_REFL","2480.008mil","1184.638mil","2480mil","1184.646mil","2480.008mil","1222.638mil","T","270.00","1K2 1%"
"R234","0805_REFL","2569.992mil","1344.654mil","2570mil","1344.646mil","2569.992mil","1306.654mil","T","90.00","1K2 1%"
"R233","0805_REFL","1949.992mil","1724.638mil","1950mil","1724.646mil","1987.992mil","1724.638mil","T","180.00","1K2 1%"
"R232","0805_REFL","1950.008mil","1994.654mil","1950mil","1994.646mil","1912.008mil","1994.654mil","T","360.00","1K2 1%"
"R231","0805_REFL","1660.008mil","1594.638mil","1660mil","1594.646mil","1660.008mil","1632.638mil","T","270.00","1K2 1%"
"R230","0805_REFL","1559.992mil","1854.654mil","1560mil","1854.646mil","1559.992mil","1816.654mil","T","90.00","1K2 1%"
"R222","0805_REFL","2389.992mil","2564.008mil","2390mil","2564.016mil","2427.992mil","2564.008mil","T","180.00","100R 1%"
"R221","0805_REFL","1394.992mil","2569.008mil","1395mil","2569.016mil","1432.992mil","2569.008mil","T","180.00","100R 1%"
"R220","0805_REFL","1394.992mil","2664.008mil","1395mil","2664.016mil","1432.992mil","2664.008mil","T","180.00","100R 1%"
"R219","0805_REFL","2349.992mil","2694.024mil","2350mil","2694.016mil","2349.992mil","2656.024mil","T","90.00","100R 1%"
"R212","0805_REFL","2530.008mil","1804.654mil","2530mil","1804.646mil","2492.008mil","1804.654mil","T","360.00","470R 1%"
"R211","0805_REFL","3130.008mil","2104.654mil","3130mil","2104.646mil","3092.008mil","2104.654mil","T","360.00","470R 1%"
"R206","0805_REFL","3130.008mil","1724.654mil","3130mil","1724.646mil","3092.008mil","1724.654mil","T","360.00","680R 1%"
"R205","0805_REFL","2659.992mil","1344.654mil","2660mil","1344.646mil","2659.992mil","1306.654mil","T","90.00","10K 1%"
"R204","0805_REFL","1849.992mil","2094.638mil","1850mil","2094.646mil","1887.992mil","2094.638mil","T","180.00","10K 1%"
"R203","0805_REFL","1529.992mil","1729.992mil","1530mil","1730mil","1567.992mil","1729.992mil","T","180.00","10K 1%"
"E603","D","2700.008mil","1864.638mil","2700mil","1864.646mil","2700.008mil","1985.138mil","T","270.00","100UF/16V( L ESR )"
"E206","C","3459.992mil","2224.638mil","3460mil","2224.646mil","3554.992mil","2224.638mil","T","180.00","10UF/25V(LESR)"
"E205","B","2525.008mil","1695.008mil","2525mil","1695mil","2462.008mil","1695.008mil","T","360.00","4.7UF/10V"
"DZ215","1206-D_REFL","2750.008mil","1324.638mil","2750mil","1324.646mil","2750.008mil","1383.138mil","T","270.00","ZMM2.4"
"DZ214","1206-D_REFL","2590.008mil","1044.638mil","2590mil","1044.646mil","2590.008mil","1103.138mil","T","270.00","ZMM2.4"
"DZ213","1206-D_REFL","1819.992mil","1784.654mil","1820mil","1784.646mil","1819.992mil","1726.154mil","T","90.00","ZMM2.4"
"DZ212","1206-D_REFL","1860.008mil","1574.638mil","1860mil","1574.646mil","1860.008mil","1633.138mil","T","270.00","ZMM2.4"
"DZ211","1206-D_REFL","1670.008mil","1954.638mil","1670mil","1954.646mil","1670.008mil","2013.138mil","T","270.00","ZMM2.4"
"DZ210","1206-D_REFL","1760.008mil","1574.638mil","1760mil","1574.646mil","1760.008mil","1633.138mil","T","270.00","ZMM2.4"
"DZ206","1206-D_REFL","2529.992mil","1574.638mil","2530mil","1574.646mil","2588.492mil","1574.638mil","T","180.00","ZMM3.3"
"DZ201","1206-D_REFL","3270.008mil","1614.654mil","3270mil","1614.646mil","3211.508mil","1614.654mil","T","360.00","ZMM5.1"
"DS209","SOT-23","2710.496mil","1614.15mil","2710mil","1614.646mil","2750.496mil","1576.65mil","T","90.00","BAS70-04"
"DS208","SOT-23","1869.504mil","2214.15mil","1870mil","2214.646mil","1832.004mil","2174.15mil","T","0.00","BAS70-04"
"DS207","SOT-23","1699.504mil","2119.504mil","1700mil","2120mil","1662.004mil","2079.504mil","T","0.00","BAS70-04"
"DS204","1206-D_REFL","2530.008mil","1474.654mil","2530mil","1474.646mil","2471.508mil","1474.654mil","T","360.00","BAS85"
"DS203","1206-D_REFL","1980.008mil","2144.638mil","1980mil","2144.646mil","1980.008mil","2203.138mil","T","270.00","BAS85"
