"Designator","Footprint","Mid X","Mid Y","Ref X","Ref Y","Pad X","Pad Y","Layer","Rotation","Comment"
"C213","0805_REFL","1661.992mil","3217.842mil","1662mil","3217.85mil","1699.992mil","3217.842mil","T","180.00","15PF/50V"
"DS100","1206-D_REFL","3179.142mil","2696.842mil","3179.134mil","2696.85mil","3179.142mil","2755.342mil","T","270.00","BAS85"
"DS101","1206-D_REFL","3239.142mil","816.764mil","3239.134mil","816.772mil","3239.142mil","875.264mil","T","270.00","BAS85"
"DS102","1206-D_REFL","738.182mil","1476.37mil","738.189mil","1476.378mil","796.682mil","1476.37mil","T","180.00","BAS85"
"DS103","1206-D_REFL","708.654mil","1604.324mil","708.661mil","1604.331mil","767.154mil","1604.324mil","T","180.00","BAS85"
"DS105","SOT-23","1190.448mil","1623.52mil","1190.945mil","1624.016mil","1152.948mil","1583.52mil","T","360.00","BAS70-04"
"DS106","SOT-23","1112.7mil","1456.198mil","1112.205mil","1456.693mil","1152.7mil","1418.698mil","T","90.00","BAS70-04"
"DS107","SOT-23","1490.496mil","1467.346mil","1490mil","1466.85mil","1527.996mil","1507.346mil","T","180.00","BAS70-04"
"DS200","1206-D_REFL","2360.008mil","1714.638mil","2360mil","1714.646mil","2360.008mil","1773.138mil","T","270.00","BAS85"
"DS201","1206-D_REFL","2080.008mil","2114.638mil","2080mil","2114.646mil","2080.008mil","2173.138mil","T","270.00","BAS85"
"DS202","1206-D_REFL","1560.008mil","2044.638mil","1560mil","2044.646mil","1560.008mil","2103.138mil","T","270.00","BAS85"
"DS205","SOT-23","2220.496mil","3057.346mil","2220mil","3056.85mil","2257.996mil","3097.346mil","T","180.00","BAS70-04"
"DS206","SOT-23","2550.496mil","2254.15mil","2550mil","2254.646mil","2590.496mil","2216.65mil","T","90.00","BAS70-04"
"DT100","SMA","3582.67mil","3346.45mil","3582.677mil","3346.457mil","3662.67mil","3346.45mil","T","180.00","SMAJ15CA"
"DT101","SMA","3582.67mil","3543.3mil","3582.677mil","3543.307mil","3662.67mil","3543.3mil","T","180.00","SMAJ15CA"
"DT102","SMA","3582.67mil","3740.15mil","3582.677mil","3740.157mil","3662.67mil","3740.15mil","T","180.00","SMAJ15CA"
"DT103","SMA","910.008mil","3736.842mil","910mil","3736.85mil","910.008mil","3816.842mil","T","270.00","SMAJ15CA"
"DT104","SMA","1349.992mil","3964.654mil","1350mil","3964.646mil","1349.992mil","3884.654mil","T","90.00","SMAJ15CA"
"DT105","SMA","1761.818mil","3523.614mil","1761.811mil","3523.622mil","1761.818mil","3603.614mil","T","270.00","SMAJ15CA"
"DT106","SMA","3582.67mil","1456.686mil","3582.677mil","1456.693mil","3662.67mil","1456.686mil","T","180.00","SMAJ15CA"
"DT107","SMA","3582.67mil","1653.536mil","3582.677mil","1653.543mil","3662.67mil","1653.536mil","T","180.00","SMAJ15CA"
"DT108","SMA","3589.992mil","1774.638mil","3590mil","1774.646mil","3669.992mil","1774.638mil","T","180.00","SMAJ15CA"
"DT109","SMA","1574.796mil","3562.984mil","1574.803mil","3562.992mil","1654.796mil","3562.984mil","T","180.00","*SMAJ5.0CA"
"DT110","SMA","2145.662mil","3513.788mil","2145.669mil","3513.78mil","2145.662mil","3433.788mil","T","90.00","*SMAJ5.0CA"
"DT111","SMA","2000.008mil","3974.638mil","2000mil","3974.646mil","2000.008mil","4054.638mil","T","270.00","*SMAJ5.0CA"
"DZ100","1206-D_REFL","3080.7mil","3061.016mil","3080.709mil","3061.024mil","3139.2mil","3061.016mil","T","180.00","ZMM3.3"
"DZ101","1206-D_REFL","3229.992mil","1176.842mil","3230mil","1176.85mil","3288.492mil","1176.842mil","T","180.00","ZMM3.3"
"DZ102","1206-D_REFL","3080.716mil","3257.882mil","3080.709mil","3257.874mil","3022.216mil","3257.882mil","T","360.00","ZMM18"
"DZ103","1206-D_REFL","3020.008mil","1384.654mil","3020mil","1384.646mil","2961.508mil","1384.654mil","T","360.00","ZMM18"
"DZ104","1206-D_REFL","950.008mil","1116.858mil","950mil","1116.85mil","891.508mil","1116.858mil","T","360.00","ZMM7.5"
"DZ200","1206-D_REFL","3260.008mil","1769.992mil","3260mil","1770mil","3260.008mil","1828.492mil","T","270.00","ZMM3.3"
"DZ203","1206-D_REFL","2349.992mil","2284.638mil","2350mil","2284.646mil","2408.492mil","2284.638mil","T","180.00","ZMM4.7"
"DZ204","1206-D_REFL","1510.008mil","2204.654mil","1510mil","2204.646mil","1451.508mil","2204.654mil","T","360.00","ZMM4.7"
"DZ207","1206-D_REFL","2069.992mil","1574.654mil","2070mil","1574.646mil","2069.992mil","1516.154mil","T","90.00","ZMM4.7"
"DZ208","1206-D_REFL","1960.008mil","1574.638mil","1960mil","1574.646mil","1960.008mil","1633.138mil","T","270.00","ZMM2.4"
"DZ209","1206-D_REFL","2339.992mil","2094.638mil","2340mil","2094.646mil","2398.492mil","2094.638mil","T","180.00","ZMM4.7"
"E100","C","3170.008mil","2346.858mil","3170mil","2346.85mil","3075.008mil","2346.858mil","T","360.00","10UF/25V(C)"
"E101","C","3349.992mil","2496.842mil","3350mil","2496.85mil","3444.992mil","2496.842mil","T","180.00","10UF/25V(C)"
"E102","C","3129.93mil","462.606mil","3129.921mil","462.599mil","3034.93mil","462.606mil","T","360.00","10UF/25V(C)"
"E103","C","3369.992mil","606.842mil","3370mil","606.85mil","3464.992mil","606.842mil","T","180.00","10UF/25V(C)"
"E200","B","2540.008mil","2124.654mil","2540mil","2124.646mil","2477.008mil","2124.654mil","T","360.00","4.7UF/10V"
"E202","B","2129.992mil","2274.638mil","2130mil","2274.646mil","2192.992mil","2274.638mil","T","180.00","4.7UF/10V"
"E203","B","1489.992mil","2314.638mil","1490mil","2314.646mil","1552.992mil","2314.638mil","T","180.00","4.7UF/10V"
"F100","NFE31P","860mil","3906.851mil","860mil","3906.85mil","919.056mil","3906.85mil","T","180.00","NFE31PT222Z1E9_6A"
"F101","NFE31P","910mil","3516.851mil","910mil","3516.85mil","910mil","3457.796mil","T","90.00","NFE31PT222Z1E9_6A"
"F102","NFM21C","3499.977mil","3446.842mil","3500mil","3446.85mil","3541.316mil","3446.842mil","T","180.00","NFM21CC223R1H3_1A1"
"F103","NFM21C","3579.977mil","3246.842mil","3580mil","3246.85mil","3621.316mil","3246.842mil","T","180.00","NFM21CC223R1H3_1A1"
"F104","NFM21C","659.472mil","1348.434mil","659.449mil","1348.425mil","618.134mil","1348.434mil","T","360.00","NFM21CC223R1H3_1A1"
"F105","NFM21C","3579.977mil","3056.842mil","3580mil","3056.85mil","3621.316mil","3056.842mil","T","180.00","NFM21CC223R1H3_1A1"
"F106","NFM21C","3579.977mil","2856.842mil","3580mil","2856.85mil","3621.316mil","2856.842mil","T","180.00","NFM21CC223R1H3_1A1"
"F107","NFM21C","3579.977mil","2656.842mil","3580mil","2656.85mil","3621.316mil","2656.842mil","T","180.00","NFM21CC223R1H3_1A1"
"F108","NFM21C","3579.977mil","2456.842mil","3580mil","2456.85mil","3621.316mil","2456.842mil","T","180.00","NFM21CC223R1H3_1A1"
"F109","NFM21C","3499.977mil","1556.842mil","3500mil","1556.85mil","3541.316mil","1556.842mil","T","180.00","NFM21CC223R1H3_1A1"
"F110","NFM21C","3584.017mil","1346.842mil","3584.04mil","1346.85mil","3625.356mil","1346.842mil","T","180.00","NFM21CC223R1H3_1A1"
"F111","NFM21C","3584.017mil","1166.842mil","3584.04mil","1166.85mil","3625.356mil","1166.842mil","T","180.00","NFM21CC223R1H3_1A1"
"F112","NFM21C","3584.977mil","961.842mil","3585mil","961.85mil","3626.316mil","961.842mil","T","180.00","NFM21CC223R1H3_1A1"
"F113","NFM21C","3584.977mil","766.842mil","3585mil","766.85mil","3626.316mil","766.842mil","T","180.00","NFM21CC223R1H3_1A1"
"F114","NFM21C","3584.977mil","561.842mil","3585mil","561.85mil","3626.316mil","561.842mil","T","180.00","NFM21CC223R1H3_1A1"
"F116","NFM21C","1269.677mil","3503.961mil","1269.685mil","3503.937mil","1269.678mil","3462.622mil","T","90.00","*"
"F117","NFM21C","1466.544mil","3425.174mil","1466.535mil","3425.197mil","1466.544mil","3466.512mil","T","270.00","*"
"F118","NFM21C","1663.378mil","3425.221mil","1663.386mil","3425.197mil","1663.378mil","3383.882mil","T","90.00","*"
"F119","0805","1569.505mil","3420.495mil","1570mil","3420mil","1569.505mil","3465.495mil","T","270.00","BK2125HS601-T 600R@100MHZ"
"F120","NFM21C","1958.67mil","3503.914mil","1958.661mil","3503.937mil","1958.67mil","3545.252mil","T","270.00","*"
"F121","0805","2039.504mil","3507.346mil","2040mil","3506.85mil","2039.504mil","3552.346mil","T","270.00","BK2125HS601-T 600R@100MHZ"
"F122","0805","1909.944mil","3936.512mil","1909.449mil","3937.008mil","1909.944mil","3891.512mil","T","90.00","BK2125HS601-T 600R@100MHZ"
"F123","NFM21C","2253.945mil","3503.914mil","2253.937mil","3503.937mil","2253.944mil","3545.252mil","T","270.00","*"
"LED200","LED_3M","1260.008mil","1465.26mil","1259.842mil","1515.748mil","1260.008mil","1415.26mil","T","270.00","LED GRÜN 3MM"
"P100","BOURNS3314J","3030mil","2536.85mil","3030mil","2536.85mil","2952.5mil","2491.85mil","T","270.00","5K 20% 0.25W"
"P101","BOURNS3314J","3070mil","696.85mil","3070mil","696.85mil","3115mil","619.35mil","T","360.00","5K 20% 0.25W"
"P102","BOURNS3314J","830mil","1296.85mil","830mil","1296.85mil","875mil","1219.35mil","T","360.00","10K 20% 0.25W"
"Q200","XTAL-SS3","2028.98mil","3307.582mil","2125.984mil","3307.087mil","2126.48mil","3307.582mil","T","180.00","SMT4.0MHz"
"R100","1206_REFL","3061.016mil","3159.442mil","3061.024mil","3159.449mil","3119.516mil","3159.442mil","T","180.00","390R 1%"
